Capture Date,ID,d15N,d13C,Morph,Species,Zone,Sex,Carapace length (mm),Carapace width (mm),Height (mm),Plastron (mm),3rd foreclaw length (mm),Mass (g),Annuli,Notes,Carapace length (cm),Carapace width (cm),Height (cm),Plastron length (cm)
5/24/2018,BJX,2,-31.6,x,C. picta,11,M,111.8,86.3,37.6,100.5,10.6,140,Non-observable,,11.18,8.63,3.76,10.05
6/18/2018,14HQV,2.6,-31.4,x,C. picta,10,M,125.7,92.6,41.0,112.8,13.3,185,Non-observable,Recap from '99,12.57,9.26,4.1,11.28
5/31/2018,BKMV,2.9,-31.6,,C. picta,6,M,118.0,88.0,43.0,109.0,15.0,195,Non-observable,Trapped,11.8,8.8,4.3,10.9
5/24/2018,BJV,3.2,-33.2,x,C. picta,11,F,131.6,100.8,49.8,124.6,7.6,290,Non-observable,Gravid,13.16,10.08,4.98,12.46
6/18/2018,BMOX,3.3,-33.6,x,C. picta,8,M,95.0,75.0,33.4,85.7,11.3,75,6,,9.5,7.5,3.34,8.57
5/25/2018,BJVX,3.4,-33.7,x,C. picta,11,F,120.1,91.1,45.8,111.8,6.8,160,Non-observable,Blood taken,12.01,9.11,4.58,11.18
6/18/2018,BMOW,3.4,-31.1,x,C. picta,8,F,103.2,79.7,39.3,97.1,7.3,125,7,,10.32,7.97,3.93,9.71
5/24/2018,BJN,3.6,-32.7,x,C. picta,11,F,132.5,95.5,50.1,119.2,8.0,275,Non-observable,,13.25,9.55,5.01,11.92
5/24/2018,BJM,3.7,-33.1,x,C. picta,8,M,98.0,80.9,38.3,93.0,11.5,95,Non-observable,,9.8,8.09,3.83,9.3
5/31/2018,BKNX,3.7,-30.6,x,C. picta,8,F,101.0,79.0,39.0,92.0,7.0,120,Non-observable,Trapped,10.1,7.9,3.9,9.2
6/18/2018,BMOV,3.8,-30.6,x,C. picta,8,F,119.1,90.0,44.2,112.9,7.8,195,Non-observable,Caught basking,11.91,9,4.42,11.29
6/7/2018,BLMW,3.9,-32.7,x,C. picta,8,M,97.9,77.7,37.2,90.6,11.5,105,Non-observable,,9.79,7.77,3.72,9.06
5/24/2018,BJMO,4,-32,x,C. picta,11,F,100.4,80.9,38.9,92.5,6.4,115,4,,10.04,8.09,3.89,9.25
5/25/2018,BJNV,4,-33.3,x,C. picta,11,F,136.7,101.9,49.0,124.7,5.7,320,Non-observable,Notch in left humeral,13.67,10.19,4.9,12.47
6/18/2018,BMVW,4,-30.4,x,C. picta,8,F,80.0,65.6,30.3,71.8,6.3,35,3,,8,6.56,3.03,7.18
6/18/2018,BMWX,4.1,-30.6,x,C. picta,11,F,70.6,62.5,29.4,63.5,4.3,15,2,,7.06,6.25,2.94,6.35
5/31/2018,BJKW,4.3,-32.2,x,C. picta,11,F,125.0,94.0,52.0,117.0,8.0,250,Non-observable,Trapped,12.5,9.4,5.2,11.7
6/7/2018,BLMV,4.5,-31.5,x,C. picta,8,F,109.8,86.1,41.6,100.8,7.2,150,Non-observable,,10.98,8.61,4.16,10.08
5/31/2018,4AHN,4.6,-33.6,x,C. picta,12,M,125.4,93.9,40.5,108.3,14.7,225,Non-observable,Trapped. Marked in 1986,12.54,9.39,4.05,10.83
6/18/2018,BNO,4.6,-34.3,x,C. picta,11,F,125.7,95.5,48.0,114.9,6.8,235,Non-observable,,12.57,9.55,4.8,11.49
5/24/2018,BJNO,4.7,-31.7,x,C. picta,11,M,93.4,74.6,33.4,85.9,12.5,90,4,,9.34,7.46,3.34,8.59
5/31/2018,BKNW,4.7,-32.8,x,C. picta,8,M,104.0,78.0,39.0,98.0,9.0,115,Non-observable,Trapped,10.4,7.8,3.9,9.8
6/18/2018,P,4.8,-30.6,x,C. picta,11,F,86.5,75.6,34.2,78.4,5.6,60,4,"Small bite mark out of scute P, with accompanying wound on plastron",8.65,7.56,3.42,7.84
5/31/2018,BKMW,5,-33.6,x,C. picta,6,M,116.0,86.0,44.0,108.0,13.0,175,Non-observable,Trapped,11.6,8.6,4.4,10.8
6/18/2018,BMVX,5.1,-31.5,x,C. picta,10,F,84.8,71.1,33.2,75.3,5.1,55,4,,8.48,7.11,3.32,7.53
5/25/2018,BJNX,5.2,-32.5,x,C. picta,11,F,119.7,86.9,45.3,112.1,6.9,185,Non-observable,Blood taken,11.97,8.69,4.53,11.21
5/24/2018,BJO,5.2,-33.4,x,C. picta,11,M,101.6,78.9,33.7,91.8,13.2,100,Non-observable,,10.16,7.89,3.37,9.18
5/31/2018,BKLW,5.5,-32,x,C. picta,4,M,116.0,86.0,39.0,102.0,14.0,180,Non-observable,"Trapped, blood",11.6,8.6,3.9,10.2
5/24/2018,3LW,5.7,-31.7,,C. picta,4,M,121.3,92.0,39.9,110.2,8.9,190,Non-observable,Marked in 1988,12.13,9.2,3.99,11.02
5/31/2018,BKLV,6.2,-30.9,x,C. picta,3,F,92.8,77.6,35.2,87.8,6.3,110,4,"Trapped, blood",9.28,7.76,3.52,8.78
