ID,site,sex,carapace_length,carapace_width,height,plastron,claw,mass,annuli
3,BS,M,11.47,8.73,4.06,10.35,11.9,160,NA
14ABH,SM,M,11.83,9.07,4.16,10.8,13.4,205,NA
14HQV,SM,M,12.57,9.26,4.1,11.28,13.3,185,NA
1JK,SM,M,12.7,9.4,4.5,11.6,12,220,NA
2J,SM,F,13.24,9.78,5.25,12.32,7.4,260,NA
3LW,SM,M,12.13,9.2,3.99,11.02,8.9,190,NA
4AHN,SM,M,12.54,9.39,4.05,10.83,14.7,225,NA
A,SM,F,13.71,10.12,4.81,12.49,8.4,325,NA
AB,LUX,F,10.51,8.27,3.96,10.23,5.9,150,NA
AC,LUX,M,12.31,8.92,4.16,10.79,14.4,210,NA
AH,LUX,M,13.17,9.53,4.25,11.79,14.3,235,NA
AI,LUX,M,12.53,9.15,4.23,11.42,14.6,215,NA
AJ,LUX,M,11.44,8.63,3.95,10.64,14.5,180,NA
AK,LUX,M,11.8,8.71,4.09,10.73,12.8,175,NA
AL,LUX,M,12.89,9.67,4.22,11.61,14.6,235,NA
AM,LUX,M,10.89,8.6,3.79,10.09,14,155,NA
AN,LUX,M,12.31,8.93,4.51,11.19,15.8,205,NA
AO,LUX,M,12.31,9.09,4.22,11.27,14.2,215,NA
AP,LUX,F,13.81,10.9,5.03,13.34,7.5,355,NA
AQ,LUX,M,13.42,9.69,4.38,12.17,14.6,255,NA
AV,LUX,M,12.19,9.28,3.93,11.16,14.3,190,NA
AW,LUX,F,14.46,10.73,4.92,13.25,8,350,NA
AX,LUX,M,13.22,9.52,4.48,11.59,15,245,NA
B,LUX,M,12.06,8.79,4.45,10.94,14.9,195,NA
BC,LUX,M,12.43,9.38,4.09,11.38,13.2,190,NA
BCKLN,SM,M,11.91,8.91,4.1,10.93,14.8,205,NA
BH,LUX,M,11.18,8.32,3.8,10.14,13.3,135,NA
BI,LUX,F,12.2,9.43,4.76,11.54,8.4,235,NA
BJ,LUX,M,10.99,8.38,3.75,10.08,13.3,135,NA
BJKM,SM,M,8.7,7.2,3.4,7.9,8,80,2
BJKN,SM,F,7.4,6.4,3.1,6.9,6,45,3
BJKO,SM,F,9.1,7.5,3.2,8.4,11,80,4
BJKP,DL,M,8.91,7.63,3.52,8.32,10.9,85,4
BJKV,SM,M,12.1,8.9,4.1,10.9,14,195,NA
BJKW,SM,F,12.5,9.4,5.2,11.7,8,250,NA
BJKX,SM,M,10.3,8.3,4.1,9.4,8,135,NA
BJLM,SM,M,10.53,8.07,4.08,9.73,11.2,130,NA
BJLN,SM,M,9.29,7.81,3.41,9.54,10.4,110,5
BJLO,SM,M,9.49,7.48,3.71,8.93,14.2,115,NA
BJLV,SM,M,9.56,7.56,3.46,8.74,12.8,110,NA
BJLW,SM,F,8.1,7.28,3.36,7.43,8,80,3
BJLX,SM,F,10.56,8.46,3.74,9.67,6.1,145,NA
BJM,SM,M,9.8,8.09,3.83,9.3,11.5,95,NA
BJMN,SM,M,10.5,8.29,3.94,9.69,12.8,125,NA
BJMO,SM,F,10.04,8.09,3.89,9.25,6.4,115,4
BJMP,BS,M,11.22,8.28,3.45,10.51,13.1,140,NA
BJMQ,BS,F,13.87,10.09,5.45,12.99,7.8,320,NA
BJMV,SM,F,7.5,6.38,3.04,6.77,4.7,45,3
BJMW,SM,M,9.22,7.21,3.37,8.39,11.2,75,NA
BJMX,SM,F,8.45,7.14,3.4,7.93,6.4,70,5
BJN,SM,F,13.25,9.55,5.01,11.92,8,275,NA
BJNO,SM,M,9.34,7.46,3.34,8.59,12.5,90,4
BJNP,BS,M,13.42,9.79,4.38,12,12.5,235,NA
BJNQ,BS,M,12.29,8.8,4.15,11.33,13.4,170,NA
BJNV,SM,F,13.67,10.19,4.9,12.47,5.7,320,NA
BJNW,SM,F,10.4,8.08,3.99,9.61,6.5,140,8
BJNX,SM,F,11.97,8.69,4.53,11.21,6.9,185,NA
BJO,SM,M,10.16,7.89,3.37,9.18,13.2,100,NA
BJOP,BS,M,10.79,8.33,3.62,9.64,12.8,120,NA
BJOQ,BS,M,12.96,9.37,4.47,11.4,14.1,220,NA
BJOV,SM,F,9.77,7.87,3.84,9.04,5.5,100,6
BJOW,SM,F,8.57,6.74,3.41,7.71,6.2,65,2
BJOX,SM,M,8.89,7.31,3.37,8.07,11.2,70,NA
BJPQ,BS,M,11.5,8.67,3.77,10.38,12.5,145,NA
BJPV,BS,M,12.77,9.48,4.4,11.85,14.5,220,NA
BJPW,BS,F,14.51,10.79,5.12,13.45,8.2,390,NA
BJPX,BS,F,10.8,8.45,4.09,10.12,7.3,150,5
BJQV,BS,M,11.6,8.62,4.3,10.63,13.4,165,NA
BJQW,BS,M,10.78,8.3,3.82,10.05,11.8,130,NA
BJQX,BS,M,11.96,9.37,4.72,11.18,18.5,170,NA
BJV,SM,F,13.16,10.08,4.98,12.46,7.6,290,NA
BJVW,SM,F,10.65,8.46,3.99,9.82,6.7,130,5
BJVX,SM,F,12.01,9.11,4.58,11.18,6.8,160,NA
BJW,SM,M,9.44,7.75,3.81,8.58,10.9,105,NA
